"code","dispositif","libelle","modalite","public_cible","contenu","objectifs","periode","theme_code","theme_origine","duree"
"10628","21D0020001","Parcours de formation Arts Plastiques Cycle3","L","A0","Aborder les questionnements du programme dans un parcours de cycleEtudier la progression de l'articulation entre le champ artistique et la pratique des elevesInterroger l'efficacité des outils, des matériaux, des formats et des gestes au regard d'une intention, d'un projetFaire interagir action et réflexion dans l'élaboration et l'expérimentation d'un dispositif pédagogiqueTravailler la compréhension des oeuvres et leur mise en relation avec la pratique des élèves afin de contribuer à la mise en oeuvre du parcours d'éducation artistique et culturelle","Actualiser ses connaissances, échanger des pratiques, des outils, des méthodes et des expériences pédagogiquesElaborer des situations pédagogiques en communAnalyser et échanger des pratiques en directConstituer un groupe de recherche et de réflexion sur des retours pratiques","Fev","109","002","6"
"10629","21D0020002","JIGSAW : Compréhension de l'écrit/expression orale","L","A0","Faire découvrir et accompagner la prise en main du JIGSAW: ce dispositif pédagogique permettant de construire la compréhension grâce à un travail coopératif motivant où chaque élève est mobilisé. Ce dispositif permet aussi à l'élève de prendre conscience des stratégies déployées pour accéder au sens.Formalisé et adapté par l'équipe Erasmus   illettrisme de la DSDEN 60, pour enseigner la compréhension pour tous les publics. Il peut s'utiliser quelle que soit la discipline et dans tous les niveaux du cycle 2 au lycée.","Objectifs :Enseigner la compréhension de l'écrit Développer la coopération entre pairsTravailler les compétences de l'oralDiversifier ses pratiques pédagogiquesFavoriser le vivre ensembleIntégrer le numérique dans ses cours","Nov","105","002","6"
"10630","21D0020003","Transmettre les valeurs de la République - cycle 3","S","A0","Apports théoriques sur les valeurs de la République et la laïcité. liens avec les programmes et les pratiques de l'école et de la sixième. Ateliers de réflexion et de production d'outils réunissant des professeurs des écoles et des enseignants du second degré.","Prendre en compte les acquis du primaire pour réussir au collège. Travailler sur les enjeux de la transmission des valeurs de la République et de la laïcité au cycle 3. Co-construire des démarches et des outils pour faire vivre ces valeurs du CM à la sixième.","Nov","CLIM","002","9"
"10631","21D0020004","Renforcement des cellules d'écoute et de soutien","L","Y0","Apports théoriques sur les traumatiques psychoaffectifs. Analyse des interventions et gestion des différentes situations. E changes de pratiques professionnelles.","Renforcement des compétences des personnels déjà membres des Cellules d'écoute et de soutien  des DSDEN","Jun","CLIM","002","6"
"10632","21D0020004","Devenir membre des cellules d'écoute et de soutien","L","Y0","Le traumatisme psychique te la prise en charge. Le deuil. La gestion des événements traumatiques. Les dispositifs par département","Devenir membre des cellules d'écoute départementale ","Mar","CLIM","002","12"
"10633","21D0020005","Séminaire académique ROLL/MAL/ROMA(th) interdegrés","L","A0","Interventions de spécialistes (universitaires du ROLL): présentation des enjeux, des dispositifs ROLL, MAL, MAC, ROMA(th),  de leur mise en oeuvre et de leur déploiement.","Réunir en inter-degrés des professeurs pour lutter contre la persistance de la difficulté de lecture des élèves dans leurs parcours. Renforcer leurs compétences langagières. Développer l'usage de la Machine à Lire (MAL) et de la Machine à Comprendre (MAC) dans l'Académie. Se former au dispositif ROMA(th) et le déployer dans l'Académie.","Jan","105","002","6"
"10634","21D0020006","Liaison école collège","L","A0","Apports théoriques et échanges de contenus","Développer la liaison école collège entre les disciplines du pôle sciences humaines (Lettres HG Arts plastiques Education musicale).","Nov","118","002","6"
"10635","21D0020007","Préparation à la certification complémentaire FLS","S","A2","Présentation des modalités de l'examen de la certification complémentaire FLS. Qu'est-ce qu'un élève allophone nouvellement arrivé? Quels sont ses besoins éducatifs spécifiques? Qu'est-ce que le FLS? le FLSco? Comment bâtir une séquence en français langue seconde? Comment construire une progression en tenant compte du parcours de l'EANA? Quels sont les profils d'EANA? Quels sont les rôles du professeur de FLS?","Proposer une formation qualifiante à destination des professeurs souhaitant exercer en UPE2A ( unités pédagogiques pour élèves allophones arrivants): la préparation à l'examen de la certification complémentaire "" français langue seconde"".","Nov","119","002","24"
"10636","21D0020008","FIL inclusion des EANA : Aisne 1er degré","L","A0","Bâtir un projet d'accueil en tenant compte des besoins éducatifs particuliers des EANA. Développer des pratiques de différenciation pédagogique adaptées.","Favoriser l'inclusion des élèves allophones nouvellement arrivés ( EANA) à différentes échelles: à l'échelle de la circonscription, du réseau, de l'école, de la classe.","Oct","119","002","6"
"10637","21D0020010","Enseigner l'EPS au cycle 3","L","A0","Alternance de pratiques et d'apports théoriques relatifs à l'enseignement d'activités physiques et sportives praticables dans la grande majorité des contextes.","Mettre en cohérence l'enseignement de l'EPS au cycle 3 dans les 3 départements de l'académie.","Oct","113","002","6"
"10638","21D0020011","Liaison interdegrés en allemand / AISNE","L","A2","Travail en plénière et en ateliers.   Analyse d'une situation de cours, dans le 1ER dans le Second degréArticulation : ancrage culturel et construction de compétences. Concevoir des parcours d'apprentissage.Prise en compte des profils. Compétences disciplinaires et transversales.  Réflexion sur les pratiques d'évaluation.Mise en oeuvre de l'enseignement d'une discipline dite non linguistique en langues étrangères. Mutualisation d'expériences notamment dans le cadre d'un accompagnement par la recherche.Conception de projets communs inter degré et avec le partenaire germanophone.Utilisation du numérique dans l'enseignement de l'allemand .","uvrer à la continuité interdegrés. Développer une culture commune. Appréhender et enrichir les démarches d'enseignement. Renforcer les synergies entre l'apprentissage de l'allemand et les autres disciplines y compris l'anglais.  Co-concevoir une progression. Intégrer le partenaire germanophone dans l'apprentissage.","Oct","115","002","6"
"10639","21D0020011","Liaison interdegrés en allemand / OISE","L","A2","Co-construction de parcours en allemandTravail en plénière et en ateliers.   Analyse d'une situation de cours, dans le 1er  et dans le second degré Articulation : ancrage culturel et construction de compétences. Concevoir des parcours d'apprentissage. Prise en compte des profils. Compétences disciplinaires et transversales.  Réflexion sur les pratiques d'évaluation.Mise en oeuvre de l'enseignement d'une discipline dite non linguistiques en langues étrangères.Mutualisation d'expériences Conception de projets communs.Intégration des partenaires de l'espace germanophone","uvrer à  la continuité interdegrés. Développer une culture commune. Appréhender et enrichir les démarches d'enseignement. Renforcer les synergies entre l'apprentissage de l'allemand et les autres disciplines y compris l'anglais. ","Oct","115","002","6"
"10640","21D0020012","La continuité éducative au cycle 3 dans l'Aisne","L","A0","Echanges de pratiques. Elaboration de ressources communes.","Développer les liens inter-degrés pour encourager la réussite et l'ambition.Travailler les continuités pédagogiques.","Nov","115","002","6"
"10641","21D0020013","Accompagnement des équipes en REP plus  Aisne","S","A6","Accompagner les équipes pédagogiques sur la mise en place au sein des établissements des axes du référentiel de l'EP. Alternance de temps d'apports théoriques, d'ateliers d'échanges et de pratiques.","Garantir l'acquisition du lire, écrire, parler. Enseigner plus explicitement les compétences que l'école requiert pour assurer la maîtrise du socle commun. Conforter une école bienveillante et exigeante.","Nov","EDP","002","18"
"10642","21D0020013","Accompagnement des équipes en REP Aisne","L","A6","Accompagner les équipes pédagogiques sur la mise en place au sein des établissements des axes du référentiel de l'EP. Alternance de temps d'apports théoriques, d'ateliers d'échanges et de pratiques.","Garantir l'acquisition du lire, écrire, parler. Enseigner plus explicitement les compétences que l'école requiert pour assurer la maîtrise du socle commun. Conforter une école bienveillante et exigeante.","Mar","EDP","002","6"
