theme_code,theme_origine,metier,weight
EP,020,45,10
NSI,020,57,95
NSI,020,33,15
NSI,020,34,15
NSI,020,27,15
NUM,020,1,220
DTM,020,1,200
DIDG,020,1,195
PCO,020,3,230
DEF,020,57,35
VALE,020,57,30
APT,020,57,2000
TEC,020,57,400
SIP,020,57,390
SILP,020,57,380
STAG,020,57,700
SILG,020,57,370
PHY,020,57,360
SMS,020,57,350
ECO,020,57,340
SVT,020,57,330
SSA,020,57,320
RES,020,57,0
CLIM,020,57,10
PCO,020,57,1000
SST,020,57,80
IVP,020,57,104
PSC,020,57,103
PSH,020,57,102
PLA,020,57,101
PHI,020,57,310
COP,020,57,800
OPE,020,57,900
NUM,020,57,90
MED,020,57,1100
MSC,020,57,300
MAT,020,57,290
LHI,020,57,280
LEES,020,57,270
LAN,020,57,260
LTAL,020,57,250
LET,020,57,240
INI,020,57,1300
HIG,020,57,230
FSPA,020,57,3000
RESA,020,57,2000
ESP,020,57,220
EST,020,57,800
EP,020,57,900
EDP,020,57,210
EPS,020,57,200
EDM,020,57,190
EDD,020,57,60
PSAN,020,57,50
EBP,020,57,40
EGG,020,57,180
EGLP,020,57,170
DTM,020,57,30
DOC,020,57,160
DIDG,020,57,20
CPE,020,57,600
BIO,020,57,150
ASO,020,57,1010
APL,020,57,140
ACU,020,57,80
AAP,020,57,130
ANG,020,57,120
ALL,020,57,110
ADM,020,57,1000
ACU,020,43,140
FSPA,020,43,130
PCO,020,43,120
EDP,020,43,110
EBP,020,43,100
COP,020,43,90
EDD,020,43,80
PSAN,020,43,70
SST,020,43,60
NUM,020,43,50
DIDG,020,43,40
CLIM,020,43,30
DTM,020,43,20
EST,020,43,10
FSPA,020,17,15
PCO,020,17,14
SST,020,17,13
EDP,020,17,12
ACU,020,17,11
DTM,020,17,10
COP,020,17,9
PSAN,020,17,8
EDD,020,17,7
NUM,020,17,6
EBP,020,17,5
DIDG,020,17,4
CLIM,020,17,3
PSC,020,17,2
EGG,020,17,1
FSPA,020,40,100
PCO,020,40,90
SST,020,40,80
EDP,020,40,70
DTM,020,40,60
NUM,020,40,50
ACU,020,40,40
EBP,020,40,30
CLIM,020,40,20
DIDG,020,40,10
FSPA,020,36,150
PCO,020,36,140
SST,020,36,130
EDP,020,36,120
ACU,020,36,110
DTM,020,36,100
COP,020,36,90
PSAN,020,36,80
EDD,020,36,70
NUM,020,36,60
EBP,020,36,50
DIDG,020,36,40
CLIM,020,36,30
PSC,020,36,20
SMS,020,36,10
FSPA,020,10,130
PCO,020,10,120
SST,020,10,110
EDP,020,10,96
DTM,020,10,87
EDD,020,10,80
NUM,020,10,70
ACU,020,10,60
EBP,020,10,50
DIDG,020,10,40
CLIM,020,10,30
PSH,020,10,20
APL,020,10,10
FSPA,020,12,150
PCO,020,12,140
SST,020,12,130
EDP,020,12,120
ACU,020,12,110
DTM,020,12,10
COP,020,12,90
PSAN,020,12,80
EDD,020,12,70
NUM,020,12,60
EBP,020,12,50
DIDG,020,12,40
CLIM,020,12,30
PSC,020,12,20
BIO,020,12,10
FSPA,020,20,130
PCO,020,20,120
SST,020,20,110
EDP,020,20,100
DTM,020,20,90
EDD,020,20,80
NUM,020,20,70
ACU,020,20,60
EBP,020,20,50
DIDG,020,20,40
CLIM,020,20,30
PSH,020,20,20
EPS,020,20,10
FSPA,020,19,120
PCO,020,19,110
SST,020,19,100
EDP,020,19,90
EDD,020,19,80
NUM,020,19,70
ACU,020,19,60
EBP,020,19,50
DIDG,020,19,40
CLIM,020,19,30
PSH,020,19,20
EDM,020,19,10
FSPA,020,32,15
PCO,020,32,14
SST,020,32,13
EDP,020,32,12
ACU,020,32,11
DTM,020,32,10
COP,020,32,9
PSAN,020,32,8
EDD,020,32,7
NUM,020,32,6
EBP,020,32,5
DIDG,020,32,4
CLIM,020,32,3
PSC,020,32,2
ECO,020,32,1
FSPA,020,33,15
PCO,020,33,14
SST,020,33,13
EDP,020,33,12
ACU,020,33,11
DTM,020,33,10
COP,020,33,9
PSAN,020,33,8
EDD,020,33,7
NUM,020,33,6
EBP,020,33,5
DIDG,020,33,4
CLIM,020,33,3
PSC,020,33,2
SILG,020,33,1
FSPA,020,34,15
PCO,020,34,14
SST,020,34,13
EDP,020,34,12
ACU,020,34,11
DTM,020,34,10
COP,020,34,9
PSAN,020,34,8
EDD,020,34,7
NUM,020,34,6
EBP,020,34,5
DIDG,020,34,4
CLIM,020,34,3
PSC,020,34,2
PHY,020,34,1
FSPA,020,38,15
PCO,020,38,14
SST,020,38,13
EDP,020,38,12
ACU,020,38,11
DTM,020,38,10
COP,020,38,9
PSAN,020,38,8
EDD,020,38,7
NUM,020,38,6
EBP,020,38,5
DIDG,020,38,4
CLIM,020,38,3
PSC,020,38,2
SVT,020,38,1
FSPA,020,39,16
PCO,020,39,15
SST,020,39,14
EDP,020,39,12
ACU,020,39,11
DTM,020,39,10
COP,020,39,9
PSAN,020,39,8
EDD,020,39,7
NUM,020,39,6
EBP,020,39,5
DIDG,020,39,4
CLIM,020,39,3
PSC,020,39,2
TEC,020,39,1
FSPA,020,22,140
PCO,020,22,130
SST,020,22,120
EDP,020,22,100
DTM,020,22,90
EDD,002,22,80
NUM,020,22,70
ACU,020,22,60
EBP,020,22,50
CLIM,020,22,40
DIDG,020,22,30
PSH,020,22,20
HIG,020,22,10
FSPA,020,35,170
PCO,020,35,160
SST,020,35,150
EDP,020,35,130
DTM,020,35,120
COP,020,35,110
PSAN,020,35,100
EDD,020,35,90
NUM,020,35,80
ACU,020,35,125
EBP,020,35,60
DIDG,020,35,50
CLIM,020,35,40
IVP,020,35,30
SIP,020,35,20
SILP,020,35,10
FSPA,020,18,160
PCO,020,18,150
SST,020,18,140
EDP,020,18,120
DTM,020,18,110
COP,020,18,100
PSAN,020,18,90
EDD,020,18,80
NUM,020,18,70
ACU,020,18,115
EBP,020,18,50
DIDG,020,18,40
CLIM,020,18,30
IVP,020,18,20
EGLP,020,18,10
FSPA,020,13,160
PCO,020,13,150
SST,020,13,140
EDP,020,13,120
DTM,020,13,110
COP,020,13,100
PSAN,020,13,90
EDD,020,13,80
NUM,020,13,70
ACU,020,13,115
EBP,020,13,50
DIDG,020,13,40
CLIM,020,13,30
FSPA,020,11,15
PCO,020,11,14
SST,020,11,13
EDP,020,11,11
DTM,020,11,10
COP,020,11,9
PSAN,020,11,8
EDD,020,11,7
NUM,020,11,6
ACU,020,11,5
EBP,020,11,4
DIDG,020,11,3
CLIM,020,11,2
PLA,020,11,1
PCO,020,52,60
SST,020,52,50
NUM,020,52,30
DTM,020,52,20
CLIM,020,52,10
PCO,020,23,14
SST,020,23,13
EDP,020,23,11
DTM,020,23,10
COP,020,23,9
PSAN,020,23,8
EDD,020,23,7
NUM,020,23,6
ACU,020,23,5
EBP,020,23,4
DIDG,020,23,3
CLIM,020,23,2
PLA,020,23,1
PCO,020,51,40
DTM,020,51,20
CLIM,020,51,10
FSPA,020,56,60
PCO,020,56,50
DTM,020,56,40
PSAN,020,56,30
CLIM,020,56,20
EBP,020,56,10
FSPA,020,30,16
PCO,020,30,15
SST,020,30,14
EDP,020,30,12
DTM,020,30,11
COP,020,30,10
PSAN,020,30,9
EDD,002,30,8
NUM,020,30,7
ACU,020,30,6
EBP,020,30,5
DIDG,020,30,4
CLIM,020,30,3
PLA,020,30,2
PCO,020,53,50
DTM,020,53,20
CLIM,020,53,10
CLIM,020,54,0
DTM,020,3,220
NUM,020,3,210
DIDG,020,3,200
SST,002,3,180
FTRA,002,3,170
FSPA,002,3,160
EDP,002,3,150
125,002,3,140
118,002,3,130
EDD,002,3,120
113,002,3,110
115,002,3,100
107,002,3,90
109,002,3,80
114,002,3,70
119,002,3,60
104,002,3,50
VALE,002,3,40
CLIM,002,3,30
106,002,3,20
105,002,3,10
PCO,020,55,80
DTM,020,55,77
PSAN,020,55,75
NUM,020,55,70
CLIM,020,55,10
IVP,020,13,20
SSA,020,13,10
FSPA,020,21,16
PCO,020,21,15
SST,020,21,14
EDP,020,21,12
DTM,020,21,11
COP,020,21,10
PSAN,020,21,9
EDD,020,21,8
NUM,020,21,7
ACU,020,21,6
EBP,020,21,5
